Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Saint Kitts y Nevis,KNA,190,280,370,450,330,340,350,350,350,370,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Santa Lucía,LCA,890,620,680,830,640,690,710,690,710,740,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Isla de San Martín (parte francesa),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,San Vicente y las Granadinas,VCT,160,240,310,480,300,370,300,350,350,370,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sudán,SDN,51990,77600,94530,99320,99640,100830,104470,109010,108910,109630,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Suriname,SUR,2860,2710,3620,4090,3940,4380,4480,4060,3900,3780,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Suecia,SWE,68390,67380,56110,53230,51530,50120,50050,49520,49070,46350,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Suiza,CHE,52650,52360,50020,51250,52270,48470,47710,48190,47200,46020,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Árabe Siria,SYR,58520,78010,89570,75930,56280,49100,44380,44930,47540,46320,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Tayikistán,TJK,17790,6720,9060,9840,10260,11700,12280,13650,14200,15210,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Tanzanía,TZA,44380,49270,81790,87950,93940,97650,103820,104660,103330,105380,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Tailandia,THA,159660,255430,362400,383440,395710,390010,392810,395180,413200,416950,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Timor-Leste,TLS,450,670,6940,6920,6900,6860,6890,6770,6390,6190,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Togo,TGO,4170,5220,8000,7480,7320,7050,7790,8240,8010,8420,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Tonga,TON,250,240,250,260,260,270,270,310,340,350,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Trinidad y Tobago,TTO,15150,15970,26410,25620,26520,25990,25600,22840,23070,22900,..,..
